arzt_id;stadt;fachrichtung;fachgruppe;bundesland;flaeche_km2;einwohner;anzahl_bewertungen;durchschnittsbewertung
11160589;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;11;2.12
11178622;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;32;1.45
11299047;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;81;1.48
11427668;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;8;1.91
11512275;Aachen;Orthopäde & Unfallchirurg;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;1;1.71
10122125;Aachen;Physikal. & Rehabilit. Mediziner;Internistische & konservative Fachärzte;Nordrhein-Westfalen;160.85;262670.0;9;2.02
10072461;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;1;1.8
10269383;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;14;2.19
11114809;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;1;1.08
11148026;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;66;1.42
11192423;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;50;1.32
11213126;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;19;2.53
11213128;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;16;2.3
11238414;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;8;1.25
11393430;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;3;1.21
11428336;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;2;1.5
11468849;Aachen;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Nordrhein-Westfalen;160.85;262670.0;5;3.11
10385671;Achern;Urologe;Operative / chirurgische Fachärzte (Humanmedizin);Baden-Württemberg;65.24;26733.0;53;1.36
11010088;Adenau;Augenarzt;Augen-, HNO- & Hautärzte;Rheinland-Pfalz;18.56;2935.0;20;2.89
10275883;Adenau;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Rheinland-Pfalz;18.56;2935.0;41;2.49
10070718;Ahaus;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;151.24;40176.0;77;1.38
10070722;Ahaus;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;151.24;40176.0;98;1.27
11552243;Ahrensfelde;Allgemeinmediziner;Hausärztliche / Allgemeine Versorgung;Brandenburg;;;6;4.02
10413442;Ahrensfelde;Frauenarzt (Gynäkologe);Frauen-, Kinder- & Jugendmedizin;Brandenburg;;;37;1.75
10242538;Ahrensfelde;Internist;Hausärztliche / Allgemeine Versorgung;Brandenburg;;;17;2.99
10326813;Ahrensfelde;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Brandenburg;;;11;1.1
11523970;Albstadt;Augenarzt;Augen-, HNO- & Hautärzte;Baden-Württemberg;134.4;46950.0;100;1.48
11100487;Aldenhoven;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;;;3;1.92
10364927;Alfter;Frauenarzt (Gynäkologe);Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;;;59;1.32
10103386;Alsdorf;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;5;1.28
10103387;Alsdorf;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;11;1.71
11009176;Alsdorf;Augenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;3;1.4
10317149;Alsdorf;Frauenarzt (Gynäkologe);Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;31.68;48810.0;16;1.38
11178256;Alsdorf;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;11;2.51
11234839;Alsdorf;Hals- Nasen- Ohrenarzt;Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;11;1.75
10334205;Alsdorf;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;36;3.53
10337351;Alsdorf;Hautarzt (Dermatologe);Augen-, HNO- & Hautärzte;Nordrhein-Westfalen;31.68;48810.0;60;3.43
10040937;Alsdorf;Kinderarzt;Frauen-, Kinder- & Jugendmedizin;Nordrhein-Westfalen;31.68;48810.0;10;2.5
